team,enemy,win,home,diff
OKC,DEN,0,1,-1.0
GSW,LAC,0,0,-8.0
ORL,UTA,0,0,-10.0
HOU,MEM,0,0,-6.0
UTA,SAC,1,0,49.0
GSW,OKC,1,0,38.0
PHX,MEM,1,0,31.0
UTA,CLE,1,0,30.0
MIL,IND,1,1,27.0
TOR,DEN,1,1,24.0
POR,CHA,1,1,12.0
IND,DEN,1,1,31.0
MIA,TOR,1,1,17.0
HOU,MEM,1,0,16.0
ORL,IND,1,0,15.0
NYK,NJN,1,0,10.0
NYK,CHI,1,0,8.0
DEN,PHX,1,1,5.0
ORL,MIA,1,0,3.0
PHX,CHA,0,1,-7.0
DEN,ATL,1,1,32.0
NOP,UTA,1,1,29.0
CLE,SAC,1,1,26.0
DAL,SAS,1,1,25.0
MIL,NYK,1,1,24.0
MIL,BKN,1,0,22.0
BOS,CHI,1,0,17.0
DAL,MEM,1,0,15.0
IND,NYK,1,1,14.0
MEM,LAL,1,0,14.0
CLE,UTA,1,1,8.0
OKC,TOR,1,1,8.0
GSW,LAL,0,1,-1.0
CHA,LAC,0,1,-12.0
CHA,PHX,0,0,-14.0
HOU,UTA,1,0,45.0
DAL,CHA,1,1,27.0
SAS,DEN,1,1,26.0
LAC,LAL,1,0,24.0
LAL,MIN,1,1,22.0
HOU,ATL,1,1,19.0
BKN,DEN,1,1,11.0
HOU,BKN,1,0,10.0
POR,MIN,1,0,5.0
NYK,ATL,1,1,2.0
HOU,SAS,0,1,-8.0
BKN,HOU,0,0,-13.0
GSW,LAL,1,1,43.0
GSW,NYK,1,1,36.0
GSW,SAS,1,1,37.0
MIN,PHI,1,0,31.0
CLE,DET,1,1,32.0
NYK,BKN,1,0,30.0
SAS,CLE,1,1,30.0
CLE,MIL,1,0,29.0
GSW,POR,1,1,25.0
SAC,ORL,1,1,25.0
MIN,UTA,1,0,25.0
CLE,LAC,1,0,24.0
CHA,MEM,1,0,24.0
MIN,CHI,1,1,24.0
HOU,MIN,1,1,23.0
HOU,DAL,1,1,22.0
LAC,CHA,1,1,21.0
